example,intents,files
"Besoin de [5](effectif) personnes","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"C'est un contrat [CDD](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Du [01/02/2025](date_debut) au [31/07/2025](date_fin)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Durée : [6 mois](duree_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Début le [01/02/2025](date_debut)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Démarrage le [01/03/2025](date_mise_en_service)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Fin le [31/12/2025](date_fin)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Le contrat est [externalisé](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Le contrat est de type [journalier](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Le contrat est un [CDD](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Le contrat est un [CDI](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Le contrat est un [Stage](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Le contrat est un [Stage](nature_contrat) pour [1](effectif) personne","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Mise en service le [15/01/2025](date_mise_en_service)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Nature du contrat : [Stage](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Pour une durée de [12 mois](duree_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"Type de contrat : [CDI](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"[2](effectif) personnes","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"[3 mois](duree_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"[Approbation directeur](nom_flux)","inform|lancer_flux_recrutement","flux_recrutement.yml"
"[CDD](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"[CDD](nature_contrat) pour [3](effectif) personnes","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"[CDD](nature_contrat) renouvelable de [6 mois](duree_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"[CDI](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"[CDI](nature_contrat) effectif [4](effectif)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"[Circuit validation hiérarchique](nom_flux)","inform|lancer_flux_recrutement","flux_recrutement.yml"
"[Circuit-Validation-V2](nom_flux)","inform|lancer_flux_recrutement","flux_recrutement.yml"
"[DDR](type_demande) [12345](id_demande)","inform|inform_validation","flux_recrutement.yml|validation_recrutement.yml"
"[DSI work flow](nom_flux)","inform|lancer_flux_recrutement","flux_recrutement.yml"
"[Flux DSI test](nom_flux)","inform|lancer_flux_recrutement","flux_recrutement.yml"
"[Flux DSI](nom_flux)","inform|lancer_flux_recrutement","flux_recrutement.yml"
"[Flux de Manda](nom_flux)","inform|lancer_flux_recrutement","flux_recrutement.yml"
